"content","annotation__label__-","annotation__points__start","annotation__points__end","annotation__points__text","extras","metadata__first_done_at","metadata__last_updated_at","metadata__sec_taken","metadata__last_updated_by","metadata__status","metadata__evaluation"
"""[< div class=""""nav"""">\n< a href=""""index.html"""">Home | < /a>\n< a href=""""information.html"""">Information | < /a>\n< a href=""""bookings.html"""">Book Now | < /a>\n< a href=""""directions.html"""">Get Directions | < /a>\n< a href=""""contact.html"""">Contact Us< /a>\n< /div>]"",2019-01-29 12:24:27.621016","Link","242","246","< /a>","null","1548764717000","1548764717000","14","BlRYdNjyg5guCZoIysvOhv92JU72","done","NONE"
"","Link","206","214","< a href=","","","","","","",""
"","Link","200","204","< /a>","","","","","","",""
"","Link","154","162","< a href=","","","","","","",""
"","Link","148","152","< /a>","","","","","","",""
"","Link","110","118","< a href=","","","","","","",""
"","Link","104","108","< /a>","","","","","","",""
"","Link","60","68","< a href=","","","","","","",""
"","Link","54","58","< /a>","","","","","","",""
"","Link","23","31","< a href=","","","","","","",""
"""[< div class=""""image"""">\n< img alt=""""OceanView B&B"""" height=""""300"""" src=""""Images/Outside.jpg"""" width=""""1000""""/> < !--Image from iha.com-->\n< /div>]"",2019-01-29 12:26:06.467536","Image","25","29","< img","null","1548764805000","1548764805000","15","BlRYdNjyg5guCZoIysvOhv92JU72","done","CORRECT"
"""[< form action="""""""" method="""""""" name=""""bookNowForm"""">\n< h2>Book Now< /h2>\n< fieldset>\n< legend>< strong>Date of Booking< /strong>< /legend>\n< label for=""""day"""">Day< /label>\n< select>\n< option value=""""1"""">1< /option>\n< option value=""""2"""">2< /option>\n< option value=""""3"""">3< /option>\n< option value=""""4"""">4< /option>\n< option value=""""5"""">5< /option>\n< option value=""""6"""">6< /option>\n< option value=""""7"""">7< /option>\n< option value=""""8"""">8< /option>\n< option value=""""9"""">9< /option>\n< option value=""""10"""">10< /option>\n< option value=""""11"""">11< /option>\n< option value=""""12"""">12< /option>\n< option value=""""13"""">13< /option>\n< option value=""""14"""">14< /option>\n< option value=""""15"""">15< /option>\n< option value=""""16"""">16< /option>\n< option value=""""17"""">17< /option>\n< option value=""""18"""">18< /option>\n< option value=""""19"""">19< /option>\n< option value=""""20"""">20< /option>\n< option value=""""21"""">21< /option>\n< option value=""""22"""">22< /option>\n< option value=""""23"""">23< /option>\n< option value=""""24"""">24< /option>\n< option value=""""25"""">25< /option>\n< option value=""""26"""">26< /option>\n< option value=""""27"""">27< /option>\n< option value=""""28"""">28< /option>\n< option value=""""29"""">29< /option>\n< option value=""""30"""">30< /option>\n< option value=""""31"""">31< /option>\n< /select>\n< label for=""""month"""">Month< /label>\n< select>\n< option value=""""January"""">January< /option>\n< option value=""""February"""">February< /option>\n< option value=""""March"""">March< /option>\n< option value=""""April"""">April< /option>\n< option value=""""May"""">May< /option>\n< option value=""""June"""">June< /option>\n< option value=""""July"""">July< /option>\n< option value=""""August"""">August< /option>\n< option value=""""September"""">September< /option>\n< option value=""""October"""">October< /option>\n< option value=""""November"""">November< /option>\n< option value=""""December"""">December< /option>\n< /select>\n< label for=""""year"""">Year< /label>\n< select>\n< option>2016< /option>\n< option>2017< /option>\n< option>2018< /option>\n< /select>\n< /fieldset>\n< fieldset>\n< legend>< strong>Number of Guests< /strong>< /legend>\n< input checked=""""checked"""" name=""""guests"""" type=""""radio"""" value=""""1""""/>1\n\n            < input name=""""guests"""" type=""""radio"""" value=""""2""""/>2\n\n            < input name=""""guests"""" type=""""radio"""" value=""""3""""/>3\n\n            < input name=""""guests"""" type=""""radio"""" value=""""4""""/>4\n\n            < input name=""""guests"""" type=""""radio"""" value=""""5""""/>5\n\n            < input name=""""guests"""" type=""""radio"""" value=""""6""""/>6+\n\n        < /fieldset>\n< fieldset>\n< legend>< strong>Room Type< /strong>< /legend>\n< select name=""""rooms"""" size=""""3"""">\n< option value=""""single"""">Single Room< /option>\n< option value=""""twin"""">Twin Room< /option>\n< option value=""""double"""">Double Room< /option>\n< option value=""""family"""">Family Room< /option>\n< /select>\n< /fieldset>\n< fieldset>\n< legend>< strong>Meal Options< /strong>< /legend>\n< input name=""""meal"""" type=""""checkbox"""" value=""""breakfast""""/>Breakfast\n\n            < input name=""""meal"""" type=""""checkbox"""" value=""""lunch""""/>Lunch\n\n            < input name=""""meal"""" type=""""checkbox"""" value=""""dinner""""/>Dinner\n\n        < /fieldset>\n< fieldset>\n< legend>< strong>Personal Information< /strong>< /legend>\n< label>Name< /label>< br/>\n< input name=""""name"""" size=""""15"""" type=""""text""""/>< br/>< br/>\n< label>Address< /label>< br/>\n< input name=""""address"""" size=""""15"""" type=""""text""""/>< br/>\n< input name=""""address2"""" size=""""15"""" type=""""text""""/>< br/>\n< input name=""""address3"""" size=""""15"""" type=""""text""""/>< br/>< br/>\n< label>Telephone No.< /label>< br/>\n< input name=""""number"""" size=""""3"""" type=""""text""""/>\n< input name=""""number2"""" size=""""10"""" type=""""text""""/>< br/>< br/>\n< label>Email< /label>< br/>\n< input name=""""email"""" size=""""25"""" type=""""text""""/>\n< /fieldset>\n< input type=""""submit"""" value=""""Book Now""""/>\n< input type=""""reset"""" value=""""Cancel""""/>\n< /form>]"",2019-01-29 12:28:26.370332","Form","3808","3815","< /form>","null","1548765096000","1548765096000","154","BlRYdNjyg5guCZoIysvOhv92JU72","done","NONE"
"","Form","3766","3772","< input","","","","","","",""
"","Form","3721","3727","< input","","","","","","",""
"","Form","3708","3719","< /fieldset>","","","","","","",""
"","Form","3657","3663","< input","","","","","","",""
"","Form","3563","3569","< input","","","","","","",""
"","Form","3512","3518","< input","","","","","","",""
"","Form","3409","3415","< input","","","","","","",""
"","Form","3349","3355","< input","","","","","","",""
"","Form","3290","3296","< input","","","","","","",""
"","Form","3197","3203","< input","","","","","","",""
"","Form","3158","3167","< /legend>","","","","","","",""
"","Form","3098","3118","< fieldset>\n< legend>","","","","","","",""
"","Form","3085","3096","< /fieldset>","","","","","","",""
"","Form","3011","3017","< input","","","","","","",""
"","Form","2935","2941","< input","","","","","","",""
"","Form","2851","2857","< input","","","","","","",""
"","Form","2840","2849","< /legend>","","","","","","",""
